,Temp
2000,0.6647600000000001
2001,0.7274690863816922
2002,0.7577032113861724
2003,0.778469205834684
2004,0.7938662884927068
2005,0.8092633711507294
2006,0.8246604538087522
2007,0.8400575364667747
2008,0.8554546191247975
2009,0.8798942369510699
2010,0.9152960088691796
2011,0.9505509977827051
2012,0.9858059866962305
2013,1.0176244868389277
2014,1.023
2015,1.0378654680719155
2016,1.0646354618722875
2017,1.0961295722256663
2018,1.127623682579045
2019,1.1591177929324241
2020,1.190611903285803
2021,1.2221060136391815
2022,1.2536001239925603
2023,1.285094234345939
2024,1.316588344699318
2025,1.3480824550526966
2026,1.3795765654060756
2027,1.4110706757594544
2028,1.4425647861128332
2029,1.474058896466212
2030,1.5055530068195906
2031,1.535424384098803
2032,1.5571631493506493
2033,1.5777800324675326
2034,1.5983969155844155
2035,1.619013798701299
2036,1.6396306818181818
2037,1.6599547586865409
2038,1.676974704890388
2039,1.6931635750421585
2040,1.7093524451939295
2041,1.7255413153457
2042,1.7417301854974707
2043,1.7575469495600489
2044,1.770663
2045,1.783263
2046,1.795863
2047,1.8084630000000002
2048,1.8205042554586586
2049,1.828982201986755
2050,1.836846440397351
2051,1.8447106788079468
2052,1.852574917218543
2053,1.8604391556291393
2054,1.868303394039735
2055,1.8761676324503314
2056,1.8840318708609272
2057,1.8918961092715234
2058,1.8997603476821194
2059,1.9076245860927152
2060,1.915119701728227
2061,1.9194939341421144
2062,1.923191218948585
2063,1.926888503755055
2064,1.9305857885615254
2065,1.9342830733679954
2066,1.937980358174466
2067,1.941677642980936
2068,1.9453749277874064
2069,1.9490722125938766
2070,1.9527694974003467
2071,1.9564667822068171
2072,1.9601640670132872
2073,1.9638613518197576
2074,1.9675586366262277
2075,1.9712559214326981
2076,1.9749532062391681
2077,1.9786305403503957
2078,1.9800000000000002
2079,1.9800000000000002
2080,1.9800000000000002
2081,1.9800000000000002
2082,1.9800000000000002
2083,1.9800000000000002
2084,1.9800000000000002
2085,1.9800000000000002
2086,1.9800000000000002
2087,1.9800000000000002
2088,1.9800000000000002
2089,1.9800000000000002
2090,1.9800000000000002
2091,1.9800000000000002
2092,1.9800000000000002
2093,1.9800000000000002
2094,1.9800000000000002
2095,1.9800000000000002
2096,1.9800000000000002
2097,1.9800000000000002
2098,1.9800000000000002
2099,1.9800000000000002
2100,1.9800000000000002
2101,1.9766000000000001
2102,1.9732000000000003
2103,1.9698000000000002
2104,1.9664000000000001
2105,1.9630000000000003
2106,1.9596000000000002
2107,1.9562000000000002
2108,1.9528
2109,1.9494000000000002
2110,1.9460000000000002
2111,1.9426
2112,1.9392000000000003
2113,1.9358000000000002
2114,1.9324000000000001
2115,1.9290000000000003
2116,1.9256000000000002
2117,1.9222000000000001
2118,1.9188000000000003
2119,1.9154000000000002
2120,1.9120000000000001
2121,1.9086000000000003
2122,1.9052000000000002
2123,1.9018000000000002
2124,1.8984
2125,1.8950000000000002
2126,1.8916000000000002
2127,1.8882
2128,1.8848000000000003
2129,1.8814000000000002
2130,1.8780000000000001
2131,1.8746000000000003
2132,1.8712000000000002
2133,1.8678000000000001
2134,1.8644000000000003
2135,1.8610000000000002
2136,1.8576000000000001
2137,1.8542
2138,1.8508000000000002
2139,1.8474000000000002
2140,1.844
2141,1.8406000000000002
2142,1.8372000000000002
2143,1.8338
2144,1.8304000000000002
2145,1.8270000000000002
2146,1.8236
2147,1.8202000000000003
2148,1.8168000000000002
2149,1.8134000000000001
2150,1.81
2151,1.8066000000000002
2152,1.8032000000000001
2153,1.7998000000000003
2154,1.7964000000000002
2155,1.7930000000000001
2156,1.7896
2157,1.7862000000000002
2158,1.7828000000000002
2159,1.7794
2160,1.7760000000000002
2161,1.7726000000000002
2162,1.7692
2163,1.7658000000000003
2164,1.7624000000000002
2165,1.7590000000000001
2166,1.7556000000000003
2167,1.7522000000000002
2168,1.7488000000000001
2169,1.7454
2170,1.7420000000000002
2171,1.7386000000000001
2172,1.7352
2173,1.7318000000000002
2174,1.7284000000000002
2175,1.725
2176,1.7216
2177,1.7182000000000002
2178,1.7148
2179,1.7114000000000003
2180,1.7080000000000002
2181,1.7046000000000001
2182,1.7012
2183,1.6978000000000002
2184,1.6944000000000001
2185,1.6910000000000003
2186,1.6876000000000002
2187,1.6842000000000001
2188,1.6808
2189,1.6774000000000002
2190,1.6740000000000002
2191,1.6706
2192,1.6672000000000002
2193,1.6638000000000002
2194,1.6604
2195,1.657
2196,1.6536000000000002
2197,1.6502000000000001
2198,1.6468000000000003
2199,1.6434000000000002
2200,1.6400000000000001
2201,1.6366
2202,1.6332000000000002
2203,1.6298000000000001
2204,1.6264
2205,1.6230000000000002
2206,1.6196000000000002
2207,1.6162
2208,1.6128
2209,1.6094000000000002
2210,1.606
2211,1.6026000000000002
2212,1.5992000000000002
2213,1.5958
2214,1.5924
2215,1.5890000000000002
2216,1.5856000000000001
2217,1.5822
2218,1.5788000000000002
2219,1.5754000000000001
2220,1.572
2221,1.5686
2222,1.5652000000000001
2223,1.5618
2224,1.5584000000000002
2225,1.5550000000000002
2226,1.5516
2227,1.5482
2228,1.5448000000000002
2229,1.5414
2230,1.538
2231,1.5346000000000002
2232,1.5312000000000001
2233,1.5278
2234,1.5244
2235,1.5210000000000001
2236,1.5176
2237,1.5142000000000002
2238,1.5108000000000001
2239,1.5074
2240,1.504
2241,1.5006000000000002
2242,1.4972
2243,1.4938000000000002
2244,1.4904000000000002
2245,1.487
2246,1.4836
2247,1.4802000000000002
2248,1.4768000000000001
2249,1.4734000000000003
2250,1.4700000000000002
2251,1.4666000000000001
2252,1.4632
2253,1.4598
2254,1.4564000000000001
2255,1.453
2256,1.4496000000000002
2257,1.4462000000000002
2258,1.4428
2259,1.4394
2260,1.436
2261,1.4326
2262,1.4292000000000002
2263,1.4258000000000002
2264,1.4224
2265,1.419
2266,1.4156
2267,1.4122000000000001
2268,1.4088
2269,1.4054000000000002
2270,1.4020000000000001
2271,1.3986
2272,1.3952
2273,1.3918
2274,1.3884
2275,1.3850000000000002
2276,1.3816000000000002
2277,1.3782
2278,1.3748
2279,1.3714
2280,1.368
2281,1.3646
2282,1.3612000000000002
2283,1.3578000000000001
2284,1.3544
2285,1.351
2286,1.3476000000000001
2287,1.3442
2288,1.3408000000000002
2289,1.3374000000000001
2290,1.334
2291,1.3306
2292,1.3272
2293,1.3238
2294,1.3204
2295,1.3170000000000002
2296,1.3136
2297,1.3102
2298,1.3068
2299,1.3034000000000001
2300,1.3
