,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
SSP1-1.9,8.857524720570714e-16,7.155038675689391e-13,1.6180503025452038e-12,2.4466374135036208e-12,4.120878229202826e-13,3.233146749976548e-14,1.5054041270200395e-12,1.4582374920062755e-13,3.8217971292970476e-13,4.018368820516192e-10,1.6342461663507935e-13,2.3366735171821214e-13,4.4417331593800896e-13,1.3414873693678324e-13,1.6333655585999157e-14,5.5304002712750975e-14,1.0791934408241905e-13,4.706767606990993e-14,6.334308609277554e-14,9.224709449784678e-14,5.926582513896154e-15,1.2520858037024237e-13
SSP1-2.6,1.795394105158143e-15,8.751925653866796e-13,2.023292064994666e-12,3.554984558402338e-12,5.987670385672857e-13,4.697789153336366e-14,2.1873647465079427e-12,2.1188312325392027e-13,5.553103085983244e-13,5.83872336115363e-10,2.374573303795225e-13,3.3952061009826827e-13,6.453875311350783e-13,1.9491964213537173e-13,2.3733917753541093e-14,8.037700931155417e-14,1.5747006169862839e-13,6.877356029759556e-14,9.257249881077799e-14,1.359597467524578e-13,8.750255596778636e-15,1.8553626367278315e-13
SSP2-4.5,3.867415089004902e-15,1.350138864151922e-12,3.1487853914979345e-12,6.077721118973743e-12,1.0236722538448753e-12,8.031498230414767e-14,3.739592309480588e-12,3.6224251097771087e-13,9.493771724289073e-13,9.982077699183854e-10,4.0596503529979837e-13,5.804558497511973e-13,1.1033762213499126e-12,3.332418355490925e-13,4.057788814105512e-14,1.3744727780844969e-13,2.7025617175504625e-13,1.1817560487202933e-13,1.5909689869941157e-13,2.353367425580259e-13,1.5167692568840476e-14,3.2255153294860564e-13
SSP3-7.0,7.197823140742103e-15,1.8984989666915425e-12,4.590841742363848e-12,8.480735710809324e-12,1.4284126624591104e-12,1.1206998849243864e-13,5.218155526116998e-12,5.05466265830794e-13,1.3247427330363133e-12,1.3928800091641074e-09,5.664758393610104e-13,8.099569818693453e-13,1.5396300589540033e-12,4.649999273007039e-13,5.662316070071019e-14,1.9182269032483158e-13,3.7812310338783647e-13,1.6548046228162397e-13,2.228078429838895e-13,3.311286233975795e-13,2.136084887605813e-14,4.550809358959011e-13
SSP5-8.5,5.026140087398673e-15,1.5294290081462864e-12,3.612287815325164e-12,6.743389634469999e-12,1.1357909866600146e-12,8.91115614906887e-14,4.149174916592314e-12,4.019174861555725e-13,1.0533586616607963e-12,1.1075374795291682e-09,4.50428763907948e-13,6.440308602260741e-13,1.2242246112125837e-12,3.6974046947759947e-13,4.5022193283722675e-14,1.5250077230989588e-13,2.9987257391674583e-13,1.311337521247387e-13,1.765437956717198e-13,2.6130176257903903e-13,1.684378245468595e-14,3.58317720489312e-13
