,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
SSP1-1.9,6.662935532975234e-15,7.155038675689391e-13,1.6180503025452038e-12,1.6982706622469326e-15,3.0781280090610784e-14,1.2546050406854003e-14,2.9527854497538274e-14,4.209113726756326e-15,4.4313138391455436e-14,3.585794180901056e-10,4.873872112417982e-15,6.310537591867632e-13,3.0232559025612664e-13,2.2266010988579498e-13,2.3543199003156016e-14,3.307751564272258e-13,9.149520386897616e-13,4.118669507247361e-13,5.562892977766176e-13,8.730667143195395e-13,5.642359338914607e-14,1.201490299781732e-12
SSP1-2.6,8.320330821141685e-15,8.751925653866796e-13,2.023292064994666e-12,2.3311901779230676e-15,4.2224089342545914e-14,1.7075717952845965e-14,3.9925228270097095e-14,5.673884455702627e-15,5.968080630357665e-14,4.824018697894737e-10,6.527723487181678e-15,8.194144375480162e-13,3.925030732912241e-13,2.8247318494208373e-13,2.9217372165780054e-14,4.0905726637531786e-13,1.0958586403910562e-12,4.913860358001908e-13,6.633801099273871e-13,1.0284565152057987e-12,6.636850927818353e-14,1.4097700180639841e-12
SSP2-4.5,1.2774654069665235e-14,1.350138864151922e-12,3.1487853914979345e-12,4.7620377619402065e-15,8.615837147735824e-14,3.43739435433071e-14,7.949169134656009e-14,1.1239902626128799e-14,1.180532442699214e-13,9.525002307446656e-10,1.2795349769739369e-14,1.5312437846355622e-12,7.333021546181175e-13,5.107234004332347e-13,5.124131103676065e-14,7.139076654425016e-13,1.825467635635543e-12,8.135120273719148e-13,1.0974242566853672e-12,1.6655719079195211e-12,1.071775287552722e-13,2.265133150354111e-12
SSP3-7.0,1.85784267354841e-14,1.8984989666915425e-12,4.590841742363848e-12,7.44419982146214e-15,1.3467109451163407e-13,5.355549649103908e-14,1.2332244350863163e-13,1.7397716220213095e-14,1.8260259535342937e-13,1.4720320479450294e-09,1.970291279868273e-14,2.2976878782434067e-12,1.1002064193529272e-12,7.527464317801867e-13,7.43410680328155e-14,1.0332202926155518e-12,2.5857089149336975e-12,1.1493513555649435e-12,1.549988631075348e-12,2.333293165299266e-12,1.4999445390435607e-13,3.1646237058505713e-12
SSP5-8.5,1.4736144386261387e-14,1.5294290081462864e-12,3.612287815325164e-12,6.901747091977302e-15,1.2479037947181822e-13,4.9369105348479916e-14,1.1319972799236045e-13,1.5937432420892165e-14,1.6717627671274703e-13,1.3466819084103036e-09,1.797121652214781e-14,2.0548260425396118e-12,9.83824953386564e-13,6.646496034894807e-13,6.492246974243645e-14,9.007748842083562e-13,2.218078292593725e-12,9.837565604064704e-13,1.3263058974794459e-12,1.9802932841731908e-12,1.2715050641725122e-13,2.6767588533025074e-12
