,,carbon dioxide,carbon dioxide,carbon dioxide,methane,methane,methane,nitrous oxide,nitrous oxide,nitrous oxide,isoprene,isoprene,isoprene,ammonia,ammonia,ammonia,sulfur dioxide,sulfur dioxide,sulfur dioxide,acetaldehyde,acetaldehyde,acetaldehyde,trichloroethylene,trichloroethylene,trichloroethylene,methylethylketone,methylethylketone,methylethylketone,black carbon,black carbon,black carbon,benzene,benzene,benzene,tropospheric ozone,tropospheric ozone,tropospheric ozone,ethanol,ethanol,ethanol,acetone,acetone,acetone,carbon monoxide,carbon monoxide,carbon monoxide,HFC-161,HFC-161,HFC-161,HFC-152,HFC-152,HFC-152,HCFC-151,HCFC-151,HCFC-151,HCFC-141a,HCFC-141a,HCFC-141a,HCFC-131,HCFC-131,HCFC-131,methylbromide,methylbromide,methylbromide,HCFC-31,HCFC-31,HCFC-31
,,Mean MCTP carbon dioxide,Q5 MCTP carbon dioxide,Q95 MCTP carbon dioxide,Mean MCTP methane,Q5 MCTP methane,Q95 MCTP methane,Mean MCTP nitrous oxide,Q5 MCTP nitrous oxide,Q95 MCTP nitrous oxide,Mean MCTP isoprene,Q5 MCTP isoprene,Q95 MCTP isoprene,Mean MCTP ammonia,Q5 MCTP ammonia,Q95 MCTP ammonia,Mean MCTP sulfur dioxide,Q5 MCTP sulfur dioxide,Q95 MCTP sulfur dioxide,Mean MCTP acetaldehyde,Q5 MCTP acetaldehyde,Q95 MCTP acetaldehyde,Mean MCTP trichloroethylene,Q5 MCTP trichloroethylene,Q95 MCTP trichloroethylene,Mean MCTP methylethylketone,Q5 MCTP methylethylketone,Q95 MCTP methylethylketone,Mean MCTP black carbon,Q5 MCTP black carbon,Q95 MCTP black carbon,Mean MCTP benzene,Q5 MCTP benzene,Q95 MCTP benzene,Mean MCTP tropospheric ozone,Q5 MCTP tropospheric ozone,Q95 MCTP tropospheric ozone,Mean MCTP ethanol,Q5 MCTP ethanol,Q95 MCTP ethanol,Mean MCTP acetone,Q5 MCTP acetone,Q95 MCTP acetone,Mean MCTP carbon monoxide,Q5 MCTP carbon monoxide,Q95 MCTP carbon monoxide,Mean MCTP HFC-161,Q5 MCTP HFC-161,Q95 MCTP HFC-161,Mean MCTP HFC-152,Q5 MCTP HFC-152,Q95 MCTP HFC-152,Mean MCTP HCFC-151,Q5 MCTP HCFC-151,Q95 MCTP HCFC-151,Mean MCTP HCFC-141a,Q5 MCTP HCFC-141a,Q95 MCTP HCFC-141a,Mean MCTP HCFC-131,Q5 MCTP HCFC-131,Q95 MCTP HCFC-131,Mean MCTP methylbromide,Q5 MCTP methylbromide,Q95 MCTP methylbromide,Mean MCTP HCFC-31,Q5 MCTP HCFC-31,Q95 MCTP HCFC-31
SSP1-1.9,2024,8.326085999561801e-14,3.227287487337678e-14,2.0085308177527919e-13,8.448945970245722e-12,3.2775109946488733e-12,2.053562823089098e-11,2.039741580279663e-11,8.181311750473516e-12,4.603485502860342e-11,7.342345714213087e-15,6.719547327445686e-16,3.677291302660974e-14,1.333966705301939e-13,1.2218279799320765e-14,6.686488218634202e-13,5.581752220006405e-14,5.1725444196454924e-15,2.8306895807134637e-13,1.339902731575084e-13,1.2563096675746869e-14,6.875189339418066e-13,1.9269450641476723e-14,1.8176464169122206e-15,9.94710553920848e-14,2.0338574740986895e-13,1.9220083573871816e-14,1.0518214491106458e-12,1.6509564606438393e-09,1.563757451927993e-10,8.55765806889692e-09,2.2722873707593433e-14,2.1733746427113504e-15,1.1893270311701887e-13,3.19986934771414e-12,3.3308489632028915e-13,1.7940085777076873e-11,1.5336647820832587e-12,1.597247544101816e-13,8.600891756253317e-12,1.2076241343608524e-12,1.3645734032467567e-13,6.9367254630311795e-12,1.375829013094516e-13,1.7130666546344387e-14,7.794496404210803e-13,1.9591032565320796e-12,2.483142481303201e-13,1.1030483118351919e-11,6.3301098479875935e-12,9.922639118391694e-13,3.136459881389119e-11,2.9223103702143067e-12,4.748337967287701e-13,1.4085162774660176e-11,3.959648291868055e-12,6.463437239725711e-13,1.9035937511484676e-11,6.862064600249884e-12,1.2984911275981944e-12,2.973523415351489e-11,4.5011176661188367e-13,8.716381240129234e-14,1.914199558803743e-12,9.85199307227506e-12,1.9923804771754708e-12,4.0556095360666846e-11
SSP1-1.9,2025,1.1794308522613307e-13,4.188579197237296e-14,2.4880337536351714e-13,1.2227414028436099e-11,4.181388690005049e-12,2.745399055067529e-11,2.850425502777951e-11,1.0214942372618463e-11,6.060185279325442e-11,1.9590210655408935e-14,7.999033991937359e-16,1.1017072221834426e-13,3.5544800813725374e-13,1.454479456355289e-14,2.0003536558858163e-12,1.4662684502524303e-13,6.157462195191991e-15,8.287697019974617e-13,3.484893936805212e-13,1.4955268927541715e-14,1.9717610431503e-12,4.9893326358536496e-14,2.163749247634348e-15,2.822427209361329e-13,5.259278494838703e-13,2.2879830194412784e-14,2.9747706731972704e-12,4.2622615103194034e-09,1.8615166176487465e-10,2.4103795692518722e-08,5.827926205895792e-14,2.587212619703559e-15,3.283210110265629e-13,7.816359532219765e-12,3.965084667213336e-13,4.2428988720540527e-11,3.745299349880531e-12,1.901383646279878e-13,2.032560384863737e-11,2.8291573303783188e-12,1.6244054108349724e-13,1.4565301189551303e-11,3.077126595154129e-13,2.03925617788026e-14,1.4762731730113491e-12,4.3456802235776006e-12,2.9559641655435446e-13,2.0531624500165594e-11,1.280191823204816e-11,1.1811853474292589e-12,4.989377553376061e-11,5.8248684302183415e-12,5.652257694287944e-13,2.1967265399028183e-11,7.878102400455477e-12,7.693817130533287e-13,2.9606626650327607e-11,1.2904442307934025e-11,1.5447876596529301e-12,4.3094777066777885e-11,8.393613321358635e-13,1.0367531004892367e-13,2.758706460920253e-12,1.808756925756758e-11,2.3685703785927743e-12,5.777160091528899e-11
SSP1-1.9,2026,1.6116959597784516e-13,3.043453094335115e-14,3.142226291769524e-13,1.6610553317587596e-11,2.9581122004708797e-12,3.420738673273809e-11,3.779144662056403e-11,7.96265710162649e-12,7.63522980759051e-11,3.5346338951351533e-14,3.328433984589814e-16,1.7148366517145942e-13,6.40850937209206e-13,6.05215436926546e-15,3.11087570863707e-12,2.6216817362217447e-13,2.5621476855782457e-15,1.2575465625965627e-12,6.17771165560457e-13,6.222954596427937e-15,2.8933207287367856e-12,8.807474133278719e-14,9.003457839054027e-16,4.0828317752639313e-13,9.272547125325787e-13,9.520400145503476e-15,4.297742971010408e-12,7.503309996961172e-09,7.745854286037508e-11,3.452490436102821e-08,1.0197635176177823e-13,1.0765507956911812e-15,4.59076659562263e-13,1.3210682575572932e-11,1.6498895455915462e-13,5.442246426012596e-11,6.329095803210678e-12,7.911742783441349e-14,2.6078122246308657e-11,4.6842275169744525e-12,6.75922390081655e-14,1.758791883379828e-11,5.001541873815384e-13,8.48543658302797e-15,1.704701340550148e-12,7.041848299951188e-12,1.2299899714104813e-13,2.3506501659605518e-11,2.0015827566231516e-11,4.915192419949418e-13,5.6263813941299773e-11,9.049340445331998e-12,2.3522367380168735e-13,2.4873033699142838e-11,1.2229114037179966e-11,3.2019038451682794e-13,3.349948755829241e-11,1.9489676641485385e-11,6.446830630027242e-13,5.036367716243003e-11,1.2621231972239315e-12,4.331891239702357e-14,3.228466413687842e-12,2.697211422159616e-11,9.929302317595843e-13,6.7878263025286e-11
SSP1-1.9,2027,1.9310750453412577e-13,0.0,4.0924737600811183e-13,2.0530939590796542e-11,0.0,4.45749166720771e-11,4.589126988237867e-11,0.0,9.764734251052202e-11,5.761692091420229e-14,0.0,2.0032289109017065e-13,1.043915085215802e-12,0.0,3.5761201790625708e-12,4.232969786043558e-13,0.0,1.3894375858082733e-12,9.933987032498287e-13,0.0,3.1912994439015496e-12,1.4145477456082058e-13,0.0,4.4928741930177245e-13,1.4887865515010044e-12,0.0,4.712203761832922e-12,1.2042954241657533e-08,0.0,3.7934971541637107e-08,1.634729696241813e-13,0.0,5.076179155486344e-13,2.0982843746367294e-11,0.0,5.8124130163640463e-11,1.0051959412137294e-11,0.0,2.7843514458197175e-11,7.33822348695777e-12,0.0,1.9755575624016792e-11,7.667596414953905e-13,0.0,2.0134451981363145e-12,1.0747778824882975e-11,0.0,2.8375010274311242e-11,2.8842381472495394e-11,0.0,7.098436668461828e-11,1.2913032496602347e-11,0.0,3.146892209513661e-11,1.742887263833419e-11,0.0,4.23921391250992e-11,2.6745849918805437e-11,0.0,6.448809702261668e-11,1.7225017235301095e-12,0.0,4.128546821278838e-12,3.644208461229988e-11,0.0,8.658462933089801e-11
SSP1-1.9,2028,1.55678785773236e-13,0.0,4.333076874412837e-13,1.643554000597499e-11,0.0,4.3802677779273356e-11,3.673104342963434e-11,0.0,9.63621899260053e-11,5.794888279199972e-14,0.0,2.017283159317328e-13,1.0490653112435153e-12,0.0,3.607975861204802e-12,4.2250038690583415e-13,0.0,1.4074941210500347e-12,9.865907254974554e-13,0.0,3.2294463537539036e-12,1.4015153005158093e-13,0.0,4.554539148054328e-13,1.4740250671223387e-12,0.0,4.775502656752192e-12,1.1913013171965714e-08,0.0,3.848623042947715e-08,1.611151522053461e-13,0.0,5.150245222820144e-13,2.0092877220259445e-11,0.0,6.241048575910109e-11,9.624106106996478e-12,0.0,2.984260863217558e-11,6.861848878150171e-12,0.0,2.1122068859173763e-11,6.993121251515686e-13,0.0,2.0617653864410297e-12,9.760204957582392e-12,0.0,2.8551492978372284e-11,2.50361322859838e-11,0.0,7.127617002084929e-11,1.1138402539490556e-11,0.0,3.132787175345673e-11,1.5021985770938476e-11,0.0,4.219485395919973e-11,2.2568010253320606e-11,0.0,6.28530280624137e-11,1.4495302538729625e-12,0.0,4.046068647544589e-12,3.0524931065332894e-11,0.0,8.497852803749092e-11
SSP1-1.9,2029,8.82516688845511e-14,0.0,3.249517220343056e-13,9.332530026768274e-12,0.0,3.4481867128484373e-11,2.1318006175589234e-11,0.0,7.616784355180405e-11,3.1240841477903966e-14,0.0,1.941682186284689e-13,5.651668921520011e-13,0.0,3.518949657620572e-12,2.2626289683575673e-13,0.0,1.386983722085954e-12,5.242222183793539e-13,0.0,3.1315932832170768e-12,7.414858651698362e-14,0.0,4.397866264751072e-13,7.788265489755797e-13,0.0,4.620052122980351e-12,6.2841245088387055e-09,0.0,3.7160541196171196e-08,8.441092292564949e-14,0.0,4.98197315188506e-13,1.0046485307869016e-11,0.0,5.941552073473127e-11,4.810989660433944e-12,0.0,2.8457318636598442e-11,3.326002192176548e-12,0.0,1.9389760282958678e-11,3.3084128264149254e-13,0.0,1.8811351363730397e-12,4.603066124087577e-12,0.0,2.6017920454902684e-11,1.1691772664278686e-11,0.0,6.196223088382619e-11,5.215348502061083e-12,0.0,2.718321387839421e-11,7.03664843484582e-12,0.0,3.6600508868840314e-11,1.0788804986090636e-11,0.0,5.323268279495655e-11,6.958651196051251e-13,0.0,3.4034228969803668e-12,1.477757381380885e-11,0.0,7.121540945343559e-11
SSP1-1.9,2030,7.4216555787761e-14,0.0,2.855592388296582e-13,8.08680733818845e-12,0.0,3.107915582041726e-11,1.8624330529538418e-11,0.0,6.860760719832956e-11,8.961393135378681e-15,0.0,3.703564660159188e-14,1.6263729148009337e-13,0.0,6.734261560726695e-13,6.718735296802303e-14,0.0,2.850914173557103e-13,1.5977516177888027e-13,0.0,6.924311803031282e-13,2.2881577704656e-14,0.0,1.0018191265422683e-13,2.4121776850143044e-13,0.0,1.0593395480489374e-12,1.955126031060394e-09,0.0,8.618849684064262e-09,2.674811066122267e-14,0.0,1.197604035415255e-13,3.623893524831088e-12,0.0,1.7759894758696622e-11,1.7365849725915537e-12,0.0,8.516275976320597e-12,1.3358371825602314e-12,0.0,6.865521525115326e-12,1.4954267090412923e-13,0.0,7.920463446699961e-13,2.1242889031703416e-12,0.0,1.1122674837703344e-11,6.738767057826085e-12,0.0,3.567973930434029e-11,3.104055117379325e-12,0.0,1.6511920607008404e-11,4.2047178268440564e-12,0.0,2.2379640645071815e-11,7.2130237360876614e-12,0.0,3.662881097920322e-11,4.722196377289404e-13,0.0,2.338423948533509e-12,1.0294795875795935e-11,0.0,5.023958530901399e-11
SSP1-1.9,2031,9.800771934187091e-14,0.0,3.673395244986619e-13,1.1086342195120157e-11,0.0,4.155218335634805e-11,2.492760871149244e-11,0.0,9.263864659095411e-11,1.485969028402984e-14,0.0,1.0379222215088651e-13,2.69965933382879e-13,0.0,1.885397080167685e-12,1.1293405750133311e-13,0.0,7.87065190534262e-13,2.7106345565659776e-13,0.0,1.884812837431688e-12,3.8981063605006445e-14,0.0,2.707112072066748e-13,4.114363450903579e-13,0.0,2.856173078397378e-12,3.339765891444309e-09,0.0,2.3172870385048128e-08,4.596697210794089e-14,0.0,3.1823055160886913e-13,6.466459447728991e-12,0.0,4.362892143282806e-11,3.099252677627472e-12,0.0,2.0906570775988443e-11,2.429128204091693e-12,0.0,1.580908538437539e-11,2.742967868730707e-13,0.0,1.6692752350567621e-12,3.8980844365272174e-12,0.0,2.3383188115729485e-11,1.2157474870836026e-11,0.0,6.139588011792335e-11,5.56457263217132e-12,0.0,2.760920704472861e-11,7.531150189503545e-12,0.0,3.723009558827596e-11,1.2494307318830793e-11,0.0,5.604159342360694e-11,8.131427679946577e-13,0.0,3.595977462373667e-12,1.7525534263562478e-11,0.0,7.535148092586474e-11
SSP1-1.9,2032,1.2406780035120864e-13,0.0,4.849572954745236e-13,1.3435927371273425e-11,0.0,5.05451165263055e-11,2.964276899510985e-11,0.0,1.1114838378603009e-10,3.174419648597327e-14,0.0,1.624232523894995e-13,5.763753045687347e-13,0.0,2.948334990109173e-12,2.394514288262679e-13,0.0,1.2137340776002492e-12,5.719647949728495e-13,0.0,2.88860645548752e-12,8.208210074334912e-14,0.0,4.127024728142144e-13,8.658433092080588e-13,0.0,4.351643995881569e-12,7.023240518320229e-09,0.0,3.5279816393293143e-08,9.638939298907017e-14,0.0,4.72817825466522e-13,1.3312365730976173e-11,0.0,6.318067821521457e-11,6.379713762758816e-12,0.0,3.025020347731372e-11,4.907436492358563e-12,0.0,2.1251298125601373e-11,5.372457672474926e-13,0.0,2.2730156362248008e-12,7.583292459790155e-12,0.0,3.178780039536455e-11,2.1462501714365997e-11,0.0,8.890866181516286e-11,9.654359636207052e-12,0.0,3.964806440799742e-11,1.3037566535299455e-11,0.0,5.342813514378526e-11,2.0222508619121013e-11,0.0,8.004497763410862e-11,1.3033701028826984e-12,0.0,5.157146792058375e-12,2.7599870358457258e-11,0.0,1.0933249114259146e-10
