,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
SSP1-1.9,8.857524720570714e-16,7.155038675689391e-13,1.6180503025452038e-12,7.770213178447118e-14,4.120878229202826e-13,3.233146749976548e-14,4.44070758430514e-14,5.25463228927704e-15,5.264883230145698e-14,4.018368820516192e-10,4.420205702567809e-15,2.3044117526450927e-13,1.1003361180447042e-13,5.3494325594205354e-14,4.1202732969801525e-15,5.5304002712750975e-14,1.0791934408241905e-13,4.706767606990993e-14,6.334308609277554e-14,9.224709449784678e-14,5.926582513896154e-15,1.2520858037024237e-13
SSP1-2.6,1.795394105158143e-15,8.751925653866796e-13,2.023292064994666e-12,1.1290184458557278e-13,5.987670385672857e-13,4.697789153336366e-14,6.452385102172838e-14,7.635024476855488e-15,7.649919179307414e-14,5.83872336115363e-10,6.422595697268992e-15,3.348329488148604e-13,1.598797553535308e-13,7.772811005017062e-14,5.987771466353495e-15,8.037700931155417e-14,1.5747006169862839e-13,6.877356029759556e-14,9.257249881077799e-14,1.359597467524578e-13,8.750255596778636e-15,1.8553626367278315e-13
SSP2-4.5,3.867415089004902e-15,1.350138864151922e-12,3.1487853914979345e-12,1.9302078816278992e-13,1.0236722538448753e-12,8.031498230414767e-14,1.1031214436955225e-13,1.3053094460718484e-14,1.3078558944644973e-13,9.982077699183854e-10,1.0980285469102242e-14,5.72441666421299e-13,2.7333580503902907e-13,1.328872523016379e-13,1.0238479820726282e-14,1.3744727780844969e-13,2.7025617175504625e-13,1.1817560487202933e-13,1.5909689869941157e-13,2.353367425580259e-13,1.5167692568840476e-14,3.2255153294860564e-13
SSP3-7.0,7.197823140742103e-15,1.8984989666915425e-12,4.590841742363848e-12,2.693375119761208e-13,1.4284126624591104e-12,1.1206998849243864e-13,1.539274540739519e-13,1.8214038079018405e-14,1.824957073231341e-13,1.3928800091641074e-09,1.532168010080518e-14,7.987741438553701e-13,3.814075503637166e-13,1.854289769513244e-13,1.4288131076375576e-14,1.9182269032483158e-13,3.7812310338783647e-13,1.6548046228162397e-13,2.228078429838895e-13,3.311286233975795e-13,2.136084887605813e-14,4.550809358959011e-13
SSP5-8.5,5.026140087398673e-15,1.5294290081462864e-12,3.612287815325164e-12,2.1416158405181366e-13,1.1357909866600146e-12,8.91115614906887e-14,1.2239419289082543e-13,1.4482747755271725e-14,1.451100126240257e-13,1.1075374795291682e-09,1.2182912274820848e-14,6.351389154103294e-13,3.032731838676062e-13,1.474418490839842e-13,1.1359830766975214e-14,1.5250077230989588e-13,2.9987257391674583e-13,1.311337521247387e-13,1.765437956717198e-13,2.6130176257903903e-13,1.684378245468595e-14,3.58317720489312e-13
