,carbon dioxide,methane,nitrous oxide,isoprene,ammonia,sulfur dioxide,acetaldehyde,trichloroethylene,methylethylketone,black carbon,benzene,tropospheric ozone,ethanol,acetone,carbon monoxide,HFC-161,HFC-152,HCFC-151,HCFC-141a,HCFC-131,methylbromide,HCFC-31
SSP1-1.9,6.662935532975234e-15,7.155038675689391e-13,1.6180503025452038e-12,6.4889309151021685e-12,3.0781280090610784e-14,1.2546050406854003e-14,4.0304086877416135e-12,3.8915190683068145e-13,9.467200140285262e-13,3.585794180901056e-10,4.403009659512845e-13,6.398885118153775e-13,1.2173535410769334e-12,4.4352892560116206e-13,5.698904824005446e-14,3.307751564272258e-13,9.149520386897616e-13,4.118669507247361e-13,5.562892977766176e-13,8.730667143195395e-13,5.642359338914607e-14,1.201490299781732e-12
SSP1-2.6,8.320330821141685e-15,8.751925653866796e-13,2.023292064994666e-12,8.42591160817153e-12,4.2224089342545914e-14,1.7075717952845965e-14,5.23501276232452e-12,5.055166913599923e-13,1.2314434519972393e-12,4.824018697894737e-10,5.719236853953125e-13,8.308862396736883e-13,1.580654007735847e-12,5.692682380838893e-13,7.26463373558249e-14,4.0905726637531786e-13,1.0958586403910562e-12,4.913860358001908e-13,6.633801099273871e-13,1.0284565152057987e-12,6.636850927818353e-14,1.4097700180639841e-12
SSP2-4.5,1.2774654069665235e-14,1.350138864151922e-12,3.1487853914979345e-12,1.5745948143815522e-11,8.615837147735824e-14,3.43739435433071e-14,9.787577285936025e-12,9.452986112538215e-13,2.3077318562987753e-12,9.525002307446656e-10,1.0693535611682773e-12,1.5526811976204604e-12,2.9536056423396826e-12,1.0466587250556812e-12,1.3239723162244543e-13,7.139076654425016e-13,1.825467635635543e-12,8.135120273719148e-13,1.0974242566853672e-12,1.6655719079195211e-12,1.071775287552722e-13,2.265133150354111e-12
SSP3-7.0,1.85784267354841e-14,1.8984989666915425e-12,4.590841742363848e-12,2.362767558816369e-11,1.3467109451163407e-13,5.355549649103908e-14,1.4690663591571832e-11,1.4189873219486915e-12,3.4682962612415016e-12,1.4720320479450294e-09,1.6051075487866337e-12,2.3298555085388148e-12,4.431853842805867e-12,1.5569371891653798e-12,1.9611852557971604e-13,1.0332202926155518e-12,2.5857089149336975e-12,1.1493513555649435e-12,1.549988631075348e-12,2.333293165299266e-12,1.4999445390435607e-13,3.1646237058505713e-12
SSP5-8.5,1.4736144386261387e-14,1.5294290081462864e-12,3.612287815325164e-12,2.1130513464399188e-11,1.2479037947181822e-13,4.9369105348479916e-14,1.3140796837693498e-11,1.2693813183700552e-12,3.1055775175443917e-12,1.3466819084103036e-09,1.43580118587448e-12,2.0835936071351667e-12,3.963322715069e-12,1.383838718378345e-12,1.7382824999703585e-13,9.007748842083562e-13,2.218078292593725e-12,9.837565604064704e-13,1.3263058974794459e-12,1.9802932841731908e-12,1.2715050641725122e-13,2.6767588533025074e-12
